"ID","LONG","LAT","Chalcites.minutillus","Chenonetta.jubata","Circus.approximans","Cladorhynchus.leucocephalus","Cladorhynchus.leucocephalus.1","Petroica.boodang","Petroica.boodang.1","Petroica.boodang.2","Collocalia.esculenta","Columba.leucomela","Coturnix.pectoralis","Coturnix.pectoralis.1","Dacelo.novaeguineae","Cyclopsitta.coxeni","Dendrocygna.eytoni","Dromaius.baudinianus","Dromaius.minor","Dromaius.novaehollandiae","Egretta.novaehollandiae","Elanus.axillaris","Elanus.scriptus","Eolophus.roseicapilla","Eurostopodus.argus","Erythrotriorchis.radiatus","Oxyura.australis","Oxyura.australis.1","Eudyptes.schlegeli","Eulabeornis.castaneoventris","Eurostopodus.mystacalis","Eurostopodus.mystacalis.1","Fregetta.grallaria","Falco.subniger","Gallinago.hardwickii","Garrodia.nereis","Geopelia.cuneata","Geophaps.ferruginea","Geophaps.plumifera","Geophaps.scripta","Geophaps.smithii","Geophaps.smithii.1","Glossopsitta.concinna","Glossopsitta.porphyrocephala","Glossopsitta.porphyrocephala.1","Glossopsitta.pusilla","Haliastur.sphenurus","Hypotaenidia.sylvestris","Hypotaenidia.sylvestris.1","Acanthiza.apicalis","Acanthiza.lineata","Acanthiza.uropygialis","Acanthorhynchus.superciliosus","Poliocephalus.poliocephalus","Ailuroedus.crassirostris","Amytornis.purnelli","Amytornis.barbatus","Amytornis.dorotheae","Amytornis.housei","Amytornis.merrotsyi","Anthochaera.carunculata","Anthochaera.paradoxa","Artamus.superciliosus","Atrichornis.clamosus","Malacorhynchus.membranaceus","Malacorhynchus.membranaceus.1","Psephotellus.chrysopterygius","Cincloramphus.cruralis","Cissomela.pectoralis","Cincloramphus.cruralis.1","Pyrrholaemus.sagittatus","Climacteris.affinis","Climacteris.rufus","Coracina.maxima","Dasyornis.brachypterus","Dasyornis.longirostris","Emblema.pictum","Quoyornis.georgianus","Epthianura.aurifrons","Poodytes.carteri","Chloebia.gouldiae","Calamanthus.cautus","Calamanthus.pyrrhopygius","Grallina.cyanoleuca","Tyto.novaehollandiae","Nesoptilotis.leucotis","Ptilotula.ornata","Ptilotula.penicillata","Ptilotula.plumula","Caligavis.chrysops","Gavicalis.fasciogularis","Nesoptilotis.flavicollis","Stomiopera.flava","Bolemoreus.frenatus","Ptilotula.fusca","Bolemoreus.hindwoodi","Ptilotula.keartlandi","Lathamus.discolor","Lathamus.discolor.1","Leucosarcia.melanoleuca","Lewinia.pectoralis","Limnodromus.griseus","Lophoictinia.isura","Lophoictinia.isura.1","Lopholaimus.antarcticus","Todiramphus.macleayii","Todiramphus.pyrrhopygius","Purnella.albifrons","Gliciphila.melanops","Lophorina.paradisea","Northiella.haematogaster","Anthochaera.phrygia","Anthochaera.phrygia.1","Macropygia.phasianella","Melopsittacus.undulatus","Neophema.chrysogaster","Neophema.chrysogaster.1","Neophema.chrysogaster.2","Neophema.chrysogaster.3","Neophema.chrysogaster.4","Neophema.pulchella","Neophema.splendida","Neopsephotus.bourkii","Ninox.leucopsis","Porphyrio.albus","Numenius.minutus","Nymphicus.hollandicus","Ocyphaps.lophotes","Pedionomus.torquatus","Peltohyas.australis","Peltohyas.australis.1","Pezoporus.occidentalis","Petrophassa.rufipennis","Pezoporus.occidentalis.1","Pezoporus.wallicus","Platycercus.elegans","Platycercus.eximius","Platycercus.icterotis","Platycercus.venustus","Phalacrocorax.fuscescens","Phalacrocorax.fuscescens.1","Phalacrocorax.varius","Phaps.elegans","Phaps.histrionica","Plegadis.falcinellus","Polytelis.swainsonii","Polytelis.swainsonii.1","Podargus.strigoides","Platalea.flavipes","Platalea.flavipes.1","Platycercus.adscitus","Platycercus.caledonicus","Porzana.fluminea","Procelsterna.albivitta","Psephotellus.chrysopterygius.1","Psephotellus.dissimilis","Psephotellus.dissimilis.1","Psephotellus.pulcherrimus","Psephotellus.varius","Psephotus.haematonotus","Ptilinopus.alligator","Ptilinopus.superbus","Recurvirostra.novaehollandiae","Recurvirostra.novaehollandiae.1","Purpureicephalus.spurius","Rallina.tricolor","Rostratula.australis","Spatula.clypeata","Spatula.querquedula","Stercorarius.longicaudus","Stiltia.isabella","Stiltia.isabella.1","Tachybaptus.ruficollis","Tanysiptera.sylvia","Threskiornis.moluccus","Threskiornis.spinicollis","Todiramphus.sanctus","Tribonyx.mortierii","Tribonyx.mortierii.1","Tribonyx.ventralis","Tribonyx.mortierii.2","Trichoglossus.chlorolepidotus","Trichoglossus.moluccanus","Trichoglossus.moluccanus.1","Trichoglossus.rubritorquis","Turnix.melanogaster","Turnix.olivii","Turnix.velox","Tyto.multipunctata","Zanda.funerea","Zanda.latirostris","Zanda.baudinii","Zanda.baudinii.1","Zanda.latirostris.1","Amytornis.modestus","Cinclosoma.cinnamomeum","Cinclosoma.alisteri","Cinclosoma.castaneothorax","Cinclosoma.marginatum","Drymodes.superciliaris","Falcunculus.frontatus","Falcunculus.leucogaster","Melithreptus.chloropsis","Melithreptus.lunatus","Microptilotis.albilineatus","Microptilotis.fordianus","Melithreptus.affinis","Myiagra.inquieta","Myzomela.sanguinolenta","Neochmia.phaeton","Pachycephala.rufogularis","Pachycephala.rufogularis.1","Rhipidura.albiscapa","Thalassarche.cauta","Dromaius.novaehollandiae.1","Corcorax.melanorhamphos","Corvus.tasmanicus","Dasyornis.brachypterus.1","Grantiella.picta","Carterornis.leucotis","Neophema.chrysostoma","Neophema.chrysostoma.1","Ninox.strenua","Stictonetta.naevosa","Turnix.pyrrhothorax","Calamanthus.montanellus","Falcunculus.whitei","Xanthotis.macleayanus","Pardalotus.quadragintus","Pardalotus.quadragintus.1","Cereopsis.novaehollandiae","Acanthiza.ewingii","Acanthiza.inornata","Acanthiza.iredalei","Acanthiza.katherina","Acanthiza.nana","Acanthiza.pusilla","Acanthiza.reguloides","Acanthiza.robustirostris","Acanthorhynchus.tenuirostris","Amytornis.ballarae","Amytornis.goyderi","Amytornis.striatus","Amytornis.woodwardi","Anthochaera.lunulata","Aphelocephala.nigricincta","Arses.kaupi","Artamus.cyanopterus","Atrichornis.rufescens","Atrichornis.rufescens.1","Calamanthus.fuliginosus","Chlamydera.guttata","Chlamydera.maculata","Chlamydera.nuchalis","Cincloramphus.cruralis.2","Cinclosoma.castanotum","Climacteris.picumnus","Colluricincla.boweri","Conopophila.whitei","Coracina.novaehollandiae","Coracina.novaehollandiae.1","Cormobates.leucophaea","Dasyornis.brachypterus.2","Dasyornis.broadbenti","Drymodes.brunneopygia","Epthianura.crocea","Eopsaltria.australis","Eopsaltria.griseogularis","Gerygone.insularis","Oreoscopus.gutturalis","Gerygone.fusca","Gerygone.tenebrosa","Grantiella.picta.1","Heteromunia.pectoralis","Melanodryas.vittata","Lalage.tricolor","Heteroscenes.pallidus","Lichenostomus.cratitius","Lichenostomus.melanops","Lonchura.flaviprymna","Malurus.amabilis","Malurus.coronatus","Malurus.cyaneus","Malurus.elegans","Malurus.melanocephalus","Malurus.pulcherrimus","Malurus.splendens","Manorina.melanophrys","Manorina.melanotis","Heteroscenes.pallidus.1","Meliphaga.lewinii","Meliphaga.notata","Menura.alberti","Menura.novaehollandiae","Monarcha.melanopsis","Monarcha.melanopsis.1","Myiagra.rubecula","Haematopus.ostralegus","Neochmia.modesta","Neochmia.ruficauda","Neochmia.ruficauda.1","Neochmia.temporalis","Origma.solitaria","Orthonyx.temminckii","Pachycephala.inornata","Pachycephala.olivacea","Pardalotus.punctatus","Pardalotus.rubricatus","Petroica.goodenovii","Petroica.phoenicea","Petroica.phoenicea.1","Petroica.phoenicea.2","Petroica.rodinogaster","Petroica.rodinogaster.1","Petroica.rodinogaster.2","Petroica.rosea","Petroica.rosea.1","Phylidonyris.niger","Phylidonyris.novaehollandiae","Phylidonyris.pyrrhopterus","Plectorhyncha.lanceolata","Poecilodryas.cerviniventris","Poephila.acuticauda","Poephila.cincta","Poephila.cincta.1","Poephila.cincta.2","Poephila.personata","Pomatostomus.halli","Pomatostomus.ruficeps","Pomatostomus.superciliosus","Prionodura.newtoniana","Gavicalis.virescens","Psophodes.nigrogularis","Psophodes.nigrogularis.1","Psophodes.occidentalis","Psophodes.olivaceus","Ptilonorhynchus.violaceus","Pyrrholaemus.brunneus","Calidris.pugnax","Lophorina.victoriae","Scenopoeetes.dentirostris","Sericornis.citreogularis","Sericornis.humilis","Sericornis.keri","Sericornis.magnirostra","Sericulus.chrysocephalus","Stagonopleura.bella","Stagonopleura.guttata","Stagonopleura.oculata","Stipiturus.mallee","Stipiturus.ruficeps","Strepera.fuliginosa","Strepera.graculina","Struthidea.cinerea","Taeniopygia.bichenovii","Tregellasia.capito","Trichodere.cockerelli","Ardea.pacifica","Ardea.plumifera","Psitteuteles.versicolor","Zoothera.lunulata","Zosterops.strenuus","Aerodramus.terraereginae","Alisterus.scapularis","Alectura.lathami","Cygnus.atratus","Anas.castanea","Anser.anser","Apus.affinis","Arenaria.interpres","Aythya.australis","Biziura.lobata","Biziura.lobata.1","Polytelis.alexandrae","Polytelis.anthopeplus","Cacatua.leadbeateri","Cacatua.pastinator","Cacatua.pastinator.1","Cacatua.sanguinea","Cacatua.tenuirostris","Cacatua.tenuirostris.1","Callocephalon.fimbriatum","Calyptorhynchus.banksii","Calyptorhynchus.lathami","Casuarius.casuarius","Aphelocephala.pectoralis","Ashbyia.lovensis","Ashbyia.lovensis.1","Cincloramphus.mathewsi","Climacteris.melanurus","Cincloramphus.mathewsi.1","Monarcha.frater","Ardenna.tenuirostris","Phaethon.lepturus","Heteromyias.cinereifrons","Acanthornis.magna","Arses.lorealis","Myiagra.cyanoleuca","Symposiachrus.trivirgatus","Acanthiza.chrysorrhoa","Anthochaera.chrysoptera","Aphelocephala.leucopsis","Corvus.mellori","Climacteris.erythrops","Gerygone.mouki","Hirundo.neoxena","Melithreptus.validirostris","Orthonyx.spaldingii","Pardalotus.striatus","Pardalotus.striatus.1","Pitta.versicolor","Pitta.versicolor.1","Poecilodryas.superciliosa","Psophodes.cristatus","Strepera.versicolor","Melithreptus.gularis","Amytornis.textilis","Amytornis.textilis.1","Cinclosoma.punctatum","Artamus.personatus","Artamus.personatus.1","Melanodryas.cucullata","Melanodryas.cucullata.1","Petrochelidon.nigricans"
8422,841750,-2241404,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
8922,891750,-2241404,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9422,941750,-2241404,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9922,991750,-2241404,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1022,1041750,-2241404,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1022,1091750,-2241404,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1122,1141750,-2241404,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1122,1191750,-2241404,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1222,1241750,-2241404,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1222,1291750,-2241404,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
